product_id,week,base_price,competitor_price,marketing_spend,inventory_level,promotion,season,day_of_week,price,quantity_sold,revenue,profit,price_elasticity
1,1,81.16,242.55,2345.67,294,Discount,Winter,Saturday,92.32,156,14401.48,6601.48,-1.5
1,2,81.16,194.91,2475.01,464,,Fall,Sunday,70.72,128,9051.78,2651.78,0.7671
1,3,81.16,235.18,912.3,156,Bundle,Summer,Sunday,94.3,141,13296.04,6246.04,0.3046
1,4,81.16,224.23,4733.92,137,,Spring,Wednesday,75.99,115,8738.83,2988.83,0.9498
1,5,81.16,151.49,4264.88,178,Bundle,Spring,Saturday,77.17,130,10032.5,3532.5,8.3771
1,6,81.16,230.86,3378.21,444,Discount,Fall,Wednesday,94.36,158,14908.27,7008.27,0.9673
1,7,81.16,26.68,2365.25,424,Discount,Spring,Friday,82.14,126,10349.68,4049.68,1.5644
1,8,81.16,53.02,2117.65,390,,Fall,Wednesday,69.4,118,8189.5,2289.5,0.4094
1,9,81.16,16.08,3289.77,53,,Winter,Monday,76.91,104,7998.8,2798.8,-1.0966
1,10,81.16,84.71,2772.62,376,,Winter,Thursday,88.37,116,10251.27,4451.27,0.7743
1,11,81.16,100.23,405.14,459,,Summer,Thursday,70.58,131,9246.63,2696.63,-0.6424
1,12,81.16,71.48,2611.26,416,,Fall,Tuesday,84.09,118,9922.85,4022.85,-0.5186
1,13,81.16,208.04,4051.38,355,,Summer,Tuesday,87.5,133,11637.79,4987.79,3.1346
1,14,81.16,92.4,2350.28,445,,Summer,Wednesday,76.09,135,10272.6,3522.6,-0.1153
1,15,81.16,73.83,354.59,144,,Winter,Sunday,87.46,112,9795.18,4195.18,-1.1408
1,16,81.16,137.96,3952.76,258,,Summer,Sunday,93.64,125,11704.49,5454.49,1.6429
1,17,81.16,39.53,1086.68,274,,Spring,Thursday,80.26,105,8427.03,3177.03,1.1198
1,18,81.16,201.54,1367.24,397,Bundle,Summer,Monday,77.36,150,11604.19,4104.19,-11.8766
1,19,81.16,23.26,907.06,370,,Fall,Saturday,73.08,117,8550.82,2700.82,3.979
1,20,81.16,246.79,1718.05,96,,Spring,Monday,84.55,116,9807.3,4007.3,-0.0545
1,21,81.16,194.2,3808.08,230,,Winter,Monday,93.49,130,12154.29,5654.29,1.1402
1,22,81.16,53.69,2644.99,155,Discount,Fall,Wednesday,75.47,132,9962.07,3362.07,-0.0798
1,23,81.16,6.35,1103.92,248,,Spring,Wednesday,77.79,115,8946.3,3196.3,-4.1829
1,24,81.16,204.79,4401.37,435,,Fall,Friday,78.13,125,9766.4,3516.4,20.0547
